Price,Close,High,Low,Open,Volume
Ticker,MES=F,MES=F,MES=F,MES=F,MES=F
Date,,,,,
2019-05-06,2932.5,2947.5,2883.75,2947.5,159243
2019-05-07,2890.75,2930.75,2862.5,2912.0,246925
2019-05-08,2887.25,2899.25,2868.75,2890.25,254506
2019-05-09,2872.75,2885.5,2836.25,2884.25,340659
2019-05-10,2887.0,2893.0,2826.0,2870.25,396057
2019-05-13,2807.0,2881.25,2801.75,2881.25,383783
2019-05-14,2839.25,2854.0,2799.5,2806.75,181543
2019-05-15,2855.0,2860.0,2815.0,2840.0,217593
2019-05-16,2878.5,2894.25,2840.5,2854.25,220248
2019-05-17,2862.0,2887.75,2852.5,2879.25,302279
2019-05-20,2844.0,2876.75,2832.25,2861.5,263910
2019-05-21,2866.0,2870.75,2846.5,2847.5,158252
2019-05-22,2857.5,2869.75,2848.5,2864.75,176205
2019-05-23,2819.5,2858.5,2805.5,2856.75,300590
2019-05-24,2831.75,2842.0,2819.25,2821.75,175700
2019-05-28,2805.0,2841.25,2800.5,2831.0,211121
2019-05-29,2780.0,2806.25,2766.25,2802.0,300492
2019-05-30,2790.5,2799.25,2776.5,2780.5,200684
2019-05-31,2752.5,2791.0,2750.0,2790.0,327277
2019-06-03,2749.5,2763.75,2728.75,2742.25,416559
2019-06-04,2805.0,2807.0,2744.0,2753.0,266160
2019-06-05,2827.75,2829.75,2800.75,2805.75,308867
2019-06-06,2845.75,2853.25,2812.75,2823.25,260902
2019-06-07,2875.0,2886.25,2837.75,2840.75,230882
2019-06-10,2889.25,2905.75,2880.5,2891.0,166943
2019-06-11,2887.0,2911.5,2879.25,2890.0,224585
2019-06-12,2881.0,2890.75,2875.25,2886.0,170033
2019-06-13,2894.5,2896.5,2867.5,2881.75,200890
2019-06-14,2890.5,2898.75,2880.5,2893.25,82327
2019-06-17,2892.0,2900.5,2887.5,2890.5,19085
2019-06-18,2921.75,2931.75,2884.5,2894.0,18230
2019-06-19,2929.0,2932.25,2910.75,2921.25,14448
2019-06-20,2955.75,2959.75,2923.25,2927.75,10647
2019-06-21,2953.89990234375,2956.75,2944.0,2952.25,220993
2019-06-24,2952.0,2961.5,2944.75,2948.25,160580
2019-06-25,2922.0,2958.25,2919.75,2951.25,249219
2019-06-26,2918.0,2939.0,2914.5,2922.5,193670
2019-06-27,2931.0,2936.0,2915.0,2916.0,181879
2019-06-28,2944.25,2955.25,2929.75,2933.75,167475
2019-07-01,2967.75,2982.25,2955.5,2964.0,206810
2019-07-02,2979.5,2980.25,2958.5,2967.75,191244
2019-07-03,3000.25,3001.0,2973.75,2979.25,122088
2019-07-05,2990.5,3005.5,2971.5,3000.0,208873
2019-07-08,2978.5,2994.75,2973.25,2991.25,183018
2019-07-09,2982.0,2986.25,2963.5,2978.25,174556
2019-07-10,2997.5,3007.5,2971.25,2982.25,242428
2019-07-11,3004.0,3006.75,2992.5,2996.25,209744
2019-07-12,3015.5,3017.75,3002.0,3003.0,142816
2019-07-15,3017.25,3024.0,3011.0,3016.0,132130
2019-07-16,3007.0,3021.75,3004.25,3017.0,165821
2019-07-17,2985.0,3013.0,2980.5,3005.75,167007
2019-07-18,2997.5,3005.5,2974.5,2981.25,229943
2019-07-19,2977.0,3009.75,2969.25,3003.5,262655
2019-07-22,2989.0,2993.5,2972.25,2973.75,186865
2019-07-23,3008.0,3008.75,2987.5,2989.0,209110
2019-07-24,3021.5,3022.0,2996.0,3003.25,194065
2019-07-25,3006.5,3027.75,2998.0,3018.75,291736
2019-07-26,3024.5,3029.5,3006.0,3006.75,173468
2019-07-29,3021.75,3027.5,3015.5,3022.25,178198
2019-07-30,3012.25,3027.5,3001.5,3023.0,237838
2019-07-31,2982.25,3020.5,2957.75,3015.25,451065
2019-08-01,2952.0,3014.0,2944.5,2971.5,701486
2019-08-02,2932.5,2961.0,2913.25,2950.75,557195
2019-08-05,2830.0,2933.5,2820.75,2930.75,723771
2019-08-06,2876.0,2884.0,2776.0,2817.5,637888
2019-08-07,2880.5,2891.25,2823.0,2875.0,765873
2019-08-08,2940.0,2941.5,2870.5,2878.5,317162
2019-08-09,2919.75,2936.0,2898.75,2931.0,473100
2019-08-12,2880.25,2930.75,2872.5,2920.25,445371
2019-08-13,2932.0,2944.25,2866.75,2882.5,461077
2019-08-14,2840.75,2936.5,2835.75,2930.0,569458
2019-08-15,2848.5,2871.75,2817.75,2836.0,719454
2019-08-16,2891.5,2894.75,2849.5,2850.0,315805
2019-08-19,2923.75,2932.25,2892.25,2893.0,211871
2019-08-20,2898.25,2932.75,2894.25,2921.0,244063
2019-08-21,2929.25,2932.5,2893.0,2894.0,187679
2019-08-22,2922.25,2939.75,2904.0,2931.75,264640
2019-08-23,2855.5,2936.75,2834.0,2920.25,501966
2019-08-26,2883.25,2888.25,2810.0,2833.75,354113
2019-08-27,2865.5,2899.5,2860.0,2883.25,301020
2019-08-28,2889.75,2891.0,2851.75,2865.5,275588
2019-08-29,2926.75,2930.75,2875.25,2884.25,256909
2019-08-30,2924.75,2946.5,2913.25,2923.75,259821
2019-09-03,2906.0,2926.5,2889.0,2913.5,394439
2019-09-04,2938.5,2939.5,2902.0,2903.25,217291
2019-09-05,2972.0,2986.75,2936.5,2937.75,291346
2019-09-06,2980.75,2988.25,2970.25,2971.0,220131
