Price,Close,High,Low,Open,Volume
Ticker,MYM=F,MYM=F,MYM=F,MYM=F,MYM=F
Date,,,,,
2020-05-18,24507.0,24639.0,23534.0,23589.0,122311
2020-05-19,24158.0,24765.0,24120.0,24478.0,156522
2020-05-20,24519.0,24582.0,24076.0,24126.0,104190
2020-05-21,24376.0,24660.0,24300.0,24547.0,117402
2020-05-22,24424.0,24508.0,24100.0,24378.0,103574
2020-05-26,25002.0,25128.0,24370.0,24412.0,140100
2020-05-27,25534.0,25575.0,24913.0,25002.0,141942
2020-05-28,25457.0,25794.0,25311.0,25546.0,153477
2020-05-29,25378.0,25499.0,24992.0,25448.0,163104
2020-06-01,25463.0,25519.0,25092.0,25320.0,96644
2020-06-02,25701.0,25719.0,25292.0,25455.0,105715
2020-06-03,26228.0,26340.0,25680.0,25702.0,105421
2020-06-04,26253.0,26369.0,26056.0,26245.0,124494
2020-06-05,27072.0,27325.0,26213.0,26281.0,166875
2020-06-08,27527.0,27562.0,27031.0,27139.0,120033
2020-06-09,27264.0,27624.0,27126.0,27561.0,118584
2020-06-10,26961.0,27487.0,26902.0,27260.0,134808
2020-06-11,25165.0,26998.0,25058.0,26955.0,253737
2020-06-12,25536.0,25950.0,25065.0,25210.0,123640
2020-06-15,25805.0,25882.0,24554.0,25288.0,57463
2020-06-16,26320.0,26783.0,25788.0,25838.0,46607
2020-06-17,26150.0,26619.0,26050.0,26236.0,17739
2020-06-18,26024.0,26277.0,25746.0,26125.0,12031
2020-06-19,26484.0,26484.0,25993.0,26055.0,148039
2020-06-22,25953.0,25992.0,25229.0,25374.0,111573
2020-06-23,26020.0,26293.0,25514.0,25942.0,134007
2020-06-24,25393.0,26124.0,25160.0,25982.0,168600
2020-06-25,25596.0,25659.0,25002.0,25376.0,166389
2020-06-26,24950.0,25651.0,24834.0,25543.0,167473
2020-06-29,25497.0,25546.0,24742.0,24779.0,143349
2020-06-30,25689.0,25772.0,25301.0,25480.0,121666
2020-07-01,25575.0,25894.0,25382.0,25651.0,158090
2020-07-02,25759.0,26088.0,25516.0,25544.0,129913
2020-07-06,26179.0,26200.0,25677.0,25685.0,178232
2020-07-07,25770.0,26280.0,25741.0,26165.0,120179
2020-07-08,25969.0,25998.0,25659.0,25764.0,136593
2020-07-09,25571.0,26030.0,25397.0,25994.0,170719
2020-07-10,25977.0,26010.0,25294.0,25585.0,192780
2020-07-13,25968.0,26524.0,25914.0,26022.0,218351
2020-07-14,26491.0,26576.0,25876.0,25985.0,273136
2020-07-15,26765.0,27064.0,26571.0,26620.0,172276
2020-07-16,26553.0,26856.0,26466.0,26805.0,135583
2020-07-17,26520.0,26724.0,26500.0,26555.0,103040
2020-07-20,26633.0,26655.0,26328.0,26540.0,99226
2020-07-21,26726.0,26916.0,26590.0,26622.0,94944
2020-07-22,26884.0,26927.0,26525.0,26732.0,88079
2020-07-23,26543.0,27057.0,26448.0,26880.0,116027
2020-07-24,26322.0,26614.0,26290.0,26539.0,92388
2020-07-27,26484.0,26523.0,26231.0,26275.0,78352
2020-07-28,26297.0,26598.0,26255.0,26510.0,90136
2020-07-29,26440.0,26499.0,26187.0,26294.0,68111
2020-07-30,26218.0,26472.0,25879.0,26464.0,149284
2020-07-31,26319.0,26469.0,25903.0,26406.0,125506
2020-08-03,26558.0,26601.0,26197.0,26400.0,58865
2020-08-04,26717.0,26743.0,26439.0,26558.0,92817
2020-08-05,27055.0,27113.0,26666.0,26749.0,78043
2020-08-06,27285.0,27303.0,26927.0,27061.0,91894
2020-08-07,27333.0,27370.0,27106.0,27289.0,85907
2020-08-10,27679.0,27713.0,27260.0,27362.0,72784
2020-08-11,27614.0,28067.0,27533.0,27689.0,105018
2020-08-12,27866.0,27963.0,27611.0,27700.0,77120
2020-08-13,27823.0,27934.0,27708.0,27859.0,56667
2020-08-14,27792.0,27911.0,27601.0,27830.0,64153
2020-08-17,27775.0,27926.0,27736.0,27839.0,46628
2020-08-18,27717.0,27904.0,27595.0,27780.0,59183
2020-08-19,27632.0,27854.0,27566.0,27737.0,60766
2020-08-20,27669.0,27717.0,27393.0,27639.0,68422
2020-08-21,27859.0,27904.0,27471.0,27680.0,59528
2020-08-24,28239.0,28267.0,27877.0,27894.0,53164
2020-08-25,28193.0,28479.0,28042.0,28243.0,69539
2020-08-26,28312.0,28339.0,28096.0,28217.0,51430
2020-08-27,28468.0,28589.0,28182.0,28316.0,79807
2020-08-28,28611.0,28720.0,28442.0,28514.0,51746
2020-08-31,28416.0,28786.0,28334.0,28680.0,58974
2020-09-01,28622.0,28656.0,28257.0,28387.0,61936
2020-09-02,29090.0,29150.0,28612.0,28642.0,78920
2020-09-03,28351.0,29181.0,28052.0,29074.0,176830
2020-09-04,28074.0,28593.0,27642.0,28304.0,185505
2020-09-08,27525.0,28404.0,27437.0,28120.0,224835
2020-09-09,27972.0,28195.0,27184.0,27448.0,137008
2020-09-10,27545.0,28160.0,27434.0,27957.0,142398
2020-09-11,27612.0,27827.0,27438.0,27592.0,36019
2020-09-14,27993.0,28088.0,27687.0,27694.0,16739
2020-09-15,28027.0,28244.0,27933.0,27950.0,13739
2020-09-16,28054.0,28371.0,27965.0,28031.0,10932
2020-09-17,27938.0,28114.0,27546.0,28090.0,15119
2020-09-18,27807.0,28000.0,27756.0,27870.0,146249
2020-09-21,27055.0,27663.0,26584.0,27567.0,201667
2020-09-22,27143.0,27210.0,26859.0,27005.0,128925
2020-09-23,26685.0,27391.0,26587.0,27198.0,155113
2020-09-24,26715.0,26972.0,26408.0,26693.0,127867
2020-09-25,27043.0,27119.0,26425.0,26769.0,111068
2020-09-28,27482.0,27600.0,27041.0,27041.0,73396
2020-09-29,27408.0,27620.0,27214.0,27504.0,69751
2020-09-30,27664.0,27905.0,27038.0,27356.0,118434
2020-10-01,27689.0,27960.0,27542.0,27600.0,109136
2020-10-02,27565.0,27742.0,27119.0,27681.0,154718
2020-10-05,27995.0,28042.0,27647.0,27713.0,65881
2020-10-06,27700.0,28233.0,27524.0,28007.0,120625
2020-10-07,28179.0,28249.0,27540.0,27561.0,77527
2020-10-08,28310.0,28453.0,28151.0,28172.0,77120
2020-10-09,28518.0,28573.0,28324.0,28374.0,76694
2020-10-12,28798.0,28846.0,28433.0,28529.0,78999
2020-10-13,28585.0,28822.0,28485.0,28810.0,96982
2020-10-14,28414.0,28727.0,28341.0,28584.0,95897
2020-10-15,28386.0,28454.0,28032.0,28407.0,110007
2020-10-16,28408.0,28733.0,28331.0,28408.0,88232
2020-10-19,28100.0,28669.0,28025.0,28484.0,86040
2020-10-20,28182.0,28466.0,28050.0,28184.0,98703
2020-10-21,28134.0,28376.0,28078.0,28181.0,100422
2020-10-22,28268.0,28313.0,27895.0,28134.0,101577
2020-10-23,28189.0,28392.0,28042.0,28312.0,73166
2020-10-26,27581.0,28171.0,27259.0,28171.0,116194
2020-10-27,27365.0,27713.0,27231.0,27599.0,94806
2020-10-28,26409.0,27270.0,26390.0,27247.0,163161
2020-10-29,26557.0,26803.0,26164.0,26471.0,145633
2020-10-30,26394.0,26530.0,25953.0,26312.0,176846
2020-11-02,26796.0,26942.0,26173.0,26391.0,159647
2020-11-03,27376.0,27535.0,26803.0,26852.0,132879
2020-11-04,27735.0,28193.0,26909.0,27395.0,195511
2020-11-05,28297.0,28390.0,27645.0,27829.0,139862
2020-11-06,28204.0,28458.0,27966.0,28334.0,163107
2020-11-09,29048.0,29999.0,28327.0,28390.0,310097
2020-11-10,29319.0,29389.0,28781.0,29097.0,247092
2020-11-11,29311.0,29574.0,29185.0,29348.0,130353
2020-11-12,28992.0,29369.0,28815.0,29354.0,153244
2020-11-13,29410.0,29484.0,28857.0,29056.0,129001
2020-11-16,29865.0,29999.0,29430.0,29430.0,132759
2020-11-17,29720.0,29901.0,29450.0,29896.0,108247
2020-11-18,29391.0,29895.0,29333.0,29696.0,119818
2020-11-19,29443.0,29475.0,29181.0,29387.0,145364
2020-11-20,29212.0,29440.0,29125.0,29268.0,106989
2020-11-23,29546.0,29621.0,29121.0,29136.0,114150
2020-11-24,29998.0,30067.0,29552.0,29555.0,115172
2020-11-25,29828.0,30166.0,29757.0,30027.0,105622
2020-11-27,29874.0,29978.0,29696.0,29865.0,76663
2020-11-30,29629.0,29968.0,29428.0,29914.0,130449
2020-12-01,29804.0,30060.0,29614.0,29674.0,123485
2020-12-02,29868.0,29907.0,29589.0,29759.0,104469
2020-12-03,29932.0,30092.0,29755.0,29885.0,98345
